Date,County,Town,Race/Ethnicity,Population,Group share of town population,Individuals with at least one dose
March-11-2021,Barnstable,Wellfleet,Black,28.2050011713758,0.0102198170183558,*
March-11-2021,Barnstable,Wellfleet,Hispanic,50.49333732,0.0182957860884693,*
March-11-2021,Barnstable,Wellfleet,Multi,15.3733143340147,0.0055703759239246,*
March-11-2021,Barnstable,Wellfleet,NH/PI,0,0,*
March-11-2021,Barnstable,Wellfleet,White,2637.00591393891,0.955494302341249,924
March-11-2021,Barnstable,Wellfleet,Other/Unknown,0,0,52
March-11-2021,Barnstable,Wellfleet,Total,2759.83426324725,1,*
March-11-2021,Barnstable,Yarmouth,AI/AN,48.3191318554526,0.00200813483390684,*
March-11-2021,Barnstable,Yarmouth,Asian,340.665334555759,0.0141579928851464,37
March-11-2021,Barnstable,Yarmouth,Black,882.415010879953,0.0366730165312428,84
March-11-2021,Barnstable,Yarmouth,Hispanic,927.7571671,0.0385574287682489,107
March-11-2021,Barnstable,Yarmouth,Multi,348.683889849125,0.0144912426680768,68
March-11-2021,Barnstable,Yarmouth,NH/PI,1.69643875207135,7.05037036223054e-05,*
March-11-2021,Barnstable,Yarmouth,White,21439.9667667058,0.891041342191838,5996
March-11-2021,Barnstable,Yarmouth,Other/Unknown,0,0,978
March-11-2021,Barnstable,Yarmouth,Total,24061.6969735281,1,*
March-11-2021,Berkshire,Adams,AI/AN,5.65415359043985,0.000687231615818003,*
March-11-2021,Berkshire,Adams,Asian,58.5482376804567,0.00711621984455266,*
March-11-2021,Berkshire,Adams,Black,35.3875996587328,0.00430117026437191,*
March-11-2021,Berkshire,Adams,Hispanic,108.85434954,0.0132306541247268,*
March-11-2021,Berkshire,Adams,Multi,110.96573259466,0.0134872812511491,*
March-11-2021,Berkshire,Adams,NH/PI,2.35851285491068,0.000286664409496826,*
March-11-2021,Berkshire,Adams,White,7873.93875072083,0.957034428576411,1610
March-11-2021,Berkshire,Adams,Other/Unknown,0,0,115
March-11-2021,Berkshire,Adams,Total,8227.43520568358,1,*
March-11-2021,Berkshire,Becket (includes Washington),AI/AN,2.49379534526491,0.00111303039595806,*
March-11-2021,Berkshire,Becket (includes Washington),Asian,9.1922201045661,0.00410267041445297,*
March-11-2021,Berkshire,Becket (includes Washington),Black,8.18579673300292,0.00365348367349631,*
March-11-2021,Berkshire,Becket (includes Washington),Hispanic,26.14892425,0.0116707842795188,*
March-11-2021,Berkshire,Becket (includes Washington),Multi,20.3978888083983,0.00910398293116887,*
March-11-2021,Berkshire,Becket (includes Washington),NH/PI,0,0,*
March-11-2021,Berkshire,Becket (includes Washington),White,2159.57688591544,0.963862059088494,391
March-11-2021,Berkshire,Becket (includes Washington),Other/Unknown,0,0,44
March-11-2021,Berkshire,Becket (includes Washington),Total,2240.54559005851,1,*
March-11-2021,Berkshire,Cheshire,AI/AN,4.66678468916346,0.00158943971183165,*
March-11-2021,Berkshire,Cheshire,Asian,11.2867304603442,0.00384409798293625,*
March-11-2021,Berkshire,Cheshire,Black,14.2924952626677,0.00486781822276912,*
March-11-2021,Berkshire,Cheshire,Hispanic,32.04956274,0.0109156198879463,*
March-11-2021,Berkshire,Cheshire,Multi,22.1626009532132,0.00754826297307269,*
March-11-2021,Berkshire,Cheshire,NH/PI,0,0,*
March-11-2021,Berkshire,Cheshire,White,2843.09509073205,0.968317276821522,696
March-11-2021,Berkshire,Cheshire,Other/Unknown,0,0,77
March-11-2021,Berkshire,Cheshire,Total,2936.11934722929,1,*
March-11-2021,Berkshire,Dalton,AI/AN,3.9113718000882,0.000604912497173065,*
March-11-2021,Berkshire,Dalton,Asian,63.60938914572,0.00983749855509084,*
